fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
1,2,0.3,5,1.0
2,3,0.4,6,0.8
3,4,0.5,7,1.2
4,5,0.6,8,1.0
5,6,0.7,9,0.9
6,7,0.8,10,1.1
7,8,0.9,11,1.0
8,9,1.0,12,0.7
9,10,1.1,13,1.3
10,11,1.2,14,1.0
11,12,1.3,15,0.9
12,13,1.4,16,1.1
13,14,1.5,17,1.0
14,15,1.6,18,0.8
15,16,1.7,19,0.9
16,17,0.3,5,1.0
17,18,0.4,6,0.9
18,19,0.5,7,1.0
19,20,0.6,8,1.1
20,21,0.7,9,0.8
21,22,2.0,12,0.7
22,23,0.3,5,1.0
23,24,0.4,6,0.9
24,25,0.5,7,1.0
25,26,0.6,8,1.1
26,27,0.7,9,0.8
27,28,0.8,10,0.9
28,29,0.9,11,1.0
29,30,1.0,12,0.7
30,31,2.5,15,0.6
31,32,0.3,5,1.0
32,33,0.4,6,0.9
33,34,0.5,7,1.0
34,35,0.6,8,1.1
35,36,0.7,9,0.8
36,37,0.8,10,0.9
37,38,0.9,11,1.0
38,39,1.0,12,0.7
39,40,0.3,5,1.0
40,41,0.4,6,0.9
41,42,0.5,7,1.0
42,43,0.6,8,1.1
43,44,0.7,9,0.8
44,45,0.8,10,0.9
45,46,0.9,11,1.0
46,47,1.0,12,0.7
47,48,0.3,5,1.0
48,49,0.4,6,0.9
49,50,0.5,7,1.0
1,3,0.4,6,1.0
1,4,0.5,7,1.2
2,5,0.5,7,0.9
2,6,0.6,8,0.8
3,7,0.7,8,0.9
4,8,0.8,9,1.0
5,9,0.9,10,0.8
6,10,1.0,11,0.9
7,11,1.1,12,1.0
8,12,1.2,13,0.8
9,13,1.3,14,0.9
10,14,1.4,15,1.0
11,15,1.5,16,0.8
12,16,1.6,17,0.9
13,17,1.7,18,1.0
14,18,1.8,19,0.8
15,19,1.9,20,0.9
16,20,2.0,21,1.0
17,21,2.1,22,0.8
18,22,2.2,23,0.9
19,23,2.3,24,1.0
20,24,2.4,25,0.8
21,25,2.5,26,0.9
22,26,2.6,27,1.0
23,27,2.7,28,0.8
24,28,2.8,29,0.9
25,29,2.9,30,1.0
26,30,3.0,31,0.8
27,31,3.1,32,0.9
28,32,3.2,33,1.0
29,33,3.3,34,0.8
30,34,3.4,35,0.9
31,35,3.5,36,1.0
32,36,3.6,37,0.8
33,37,3.7,38,0.9
34,38,3.8,39,1.0
35,39,3.9,40,0.8
36,40,4.0,41,0.9
37,41,4.1,42,1.0
38,42,4.2,43,0.8
39,43,4.3,44,0.9
40,44,4.4,45,1.0
41,45,4.5,46,0.8
42,46,4.6,47,0.9
43,47,4.7,48,1.0
44,48,4.8,49,0.8
45,49,4.9,50,0.9
46,50,5.0,51,1.0
